Symbol,Company Name,Sector,Industry,Country,Region,Zip Code
OPHC,"OptimumBank Holdings, Inc.",Financial Services,Banksâ€”Regional,United States,FL,33308
OPCH,"Option Care Health, Inc.",Healthcare,Medical Care Facilities,United States,IL,60015
OPRT,Oportun Financial Corporation,Financial Services,Credit Services,United States,CA,94070
OPK,"OPKO Health, Inc.",Healthcare,Diagnostics & Research,United States,FL,33137
OPI,Office Properties Income Trust,Real Estate,REITâ€”Office,United States,MA,02458-1634
OPOF,Old Point Financial Corporation,Financial Services,Banksâ€”Regional,United States,VA,23669
OPEN,Opendoor Technologies Inc.,Real Estate,Real Estate Services,United States,AZ,85288
OPTX,"Syntec Optics Holdings, Inc.",Technology,Electronic Components,United States,NY,14606
OPTN,"OptiNose, Inc.",Healthcare,Drug Manufacturersâ€”Specialty & Generic,United States,PA,19067
OPT,Opthea Limited,Healthcare,Biotechnology,Australia,VIC,3141
OPTXW,"Syntec Optics Holdings, Inc.",Technology,Electronic Components,United States,NY,14606
